filename_nor,model_type,num_params,chans,groups,scale,rrmse_nor,rmse_nor,corr_nor,sdr_nor,filename_gen,rrmse_gen,rmse_gen,corr_gen,sdr_gen
final_5conv_ch1_grp1_scale1_mse_only_conv5SingleHeadNet_denoise_epochs_50_metrics_71_params.txt,5conv,71,1,1,1,0.57625258,0.320860267,0.817611277,4.787742615,best_conv5SingleHeadNet_final_5conv_ch1_grp1_scale1_mse_only_denoise_epoch_50_weights_71_params_gen_metrics.txt,0.753026426,0.753026366,0.665406823,2.463796377
final_5conv_ch1_grp1_scale2_mse_only_conv5SingleHeadNet_denoise_epochs_50_metrics_96_params.txt,5conv,96,1,1,2,0.640314698,0.356530368,0.768573701,3.872130394,best_conv5SingleHeadNet_final_5conv_ch1_grp1_scale2_mse_only_denoise_epoch_50_weights_96_params_gen_metrics.txt,0.761842072,0.761842012,0.687642694,2.362701416
final_5conv_ch1_grp1_scale4_mse_only_conv5SingleHeadNet_denoise_epochs_50_metrics_188_params.txt,5conv,188,1,1,4,0.542825162,0.302247703,0.839917123,5.306801319,best_conv5SingleHeadNet_final_5conv_ch1_grp1_scale4_mse_only_denoise_epoch_50_weights_188_params_gen_metrics.txt,0.74391669,0.743916631,0.673347056,2.569514275
final_5conv_ch2_grp1_scale1_mse_only_conv5SingleHeadNet_denoise_epochs_50_metrics_241_params.txt,5conv,241,2,1,1,0.483540624,0.269237787,0.877083957,6.311341286,best_conv5SingleHeadNet_final_5conv_ch2_grp1_scale1_mse_only_denoise_epoch_50_weights_241_params_gen_metrics.txt,0.692534208,0.692534149,0.732556999,3.191175938
final_5conv_ch2_grp1_scale2_mse_only_conv5SingleHeadNet_denoise_epochs_50_metrics_337_params.txt,5conv,337,2,1,2,0.438704461,0.244272798,0.899138391,7.15655899,best_conv5SingleHeadNet_final_5conv_ch2_grp1_scale2_mse_only_denoise_epoch_50_weights_337_params_gen_metrics.txt,0.725527942,0.725527883,0.69257158,2.78691721
final_5conv_ch2_grp1_scale4_mse_only_conv5SingleHeadNet_denoise_epochs_50_metrics_697_params.txt,5conv,697,2,1,4,0.450073838,0.250603318,0.893179834,6.934325695,best_conv5SingleHeadNet_final_5conv_ch2_grp1_scale4_mse_only_denoise_epoch_50_weights_697_params_gen_metrics.txt,0.70718509,0.70718503,0.712273121,3.009338856
final_5conv_ch2_grp2_scale1_mse_only_conv5SingleHeadNet_denoise_epochs_50_metrics_227_params.txt,5conv,227,2,2,1,0.465172976,0.259010583,0.885270655,6.647711277,best_conv5SingleHeadNet_final_5conv_ch2_grp2_scale1_mse_only_denoise_epoch_50_weights_227_params_gen_metrics.txt,0.711527228,0.711527169,0.712285757,2.956169605
final_5conv_ch2_grp2_scale2_mse_only_conv5SingleHeadNet_denoise_epochs_50_metrics_323_params.txt,5conv,323,2,2,2,0.469483495,0.261410713,0.882979929,6.567594528,best_conv5SingleHeadNet_final_5conv_ch2_grp2_scale2_mse_only_denoise_epoch_50_weights_323_params_gen_metrics.txt,0.726422787,0.726422727,0.694131494,2.776211262
final_5conv_ch2_grp2_scale4_mse_only_conv5SingleHeadNet_denoise_epochs_50_metrics_683_params.txt,5conv,683,2,2,4,0.432722032,0.240941748,0.902017057,7.275820255,best_conv5SingleHeadNet_final_5conv_ch2_grp2_scale4_mse_only_denoise_epoch_50_weights_683_params_gen_metrics.txt,0.731879056,0.731878996,0.686756551,2.711214066
final_5conv_ch4_grp1_scale1_mse_only_conv5SingleHeadNet_denoise_epochs_50_metrics_881_params.txt,5conv,881,4,1,1,0.419263482,0.233447954,0.90946126,7.55025959,best_conv5SingleHeadNet_final_5conv_ch4_grp1_scale1_mse_only_denoise_epoch_50_weights_881_params_gen_metrics.txt,0.698841035,0.698840976,0.740305483,3.112432003
final_5conv_ch4_grp1_scale2_mse_only_conv5SingleHeadNet_denoise_epochs_50_metrics_1257_params.txt,5conv,1257,4,1,2,0.416994959,0.232184827,0.909143329,7.597384453,best_conv5SingleHeadNet_final_5conv_ch4_grp1_scale2_mse_only_denoise_epoch_50_weights_1257_params_gen_metrics.txt,0.703985631,0.703985572,0.722721934,3.048723936
final_5conv_ch4_grp1_scale4_mse_only_conv5SingleHeadNet_denoise_epochs_50_metrics_2681_params.txt,5conv,2681,4,1,4,0.40866071,0.227544278,0.912744045,7.772742271,best_conv5SingleHeadNet_final_5conv_ch4_grp1_scale4_mse_only_denoise_epoch_50_weights_2681_params_gen_metrics.txt,0.706296384,0.706296325,0.713228106,3.020260811
final_5conv_ch4_grp2_scale1_mse_only_conv5SingleHeadNet_denoise_epochs_50_metrics_825_params.txt,5conv,825,4,2,1,0.425310403,0.236814916,0.90514046,7.425880432,best_conv5SingleHeadNet_final_5conv_ch4_grp2_scale1_mse_only_denoise_epoch_50_weights_825_params_gen_metrics.txt,0.70326674,0.70326668,0.716578424,3.057598829
final_5conv_ch4_grp2_scale2_mse_only_conv5SingleHeadNet_denoise_epochs_50_metrics_1201_params.txt,5conv,1201,4,2,2,0.42444545,0.236333311,0.905569613,7.443562508,best_conv5SingleHeadNet_final_5conv_ch4_grp2_scale2_mse_only_denoise_epoch_50_weights_1201_params_gen_metrics.txt,0.713413119,0.71341306,0.704907537,2.933178186
final_5conv_ch4_grp2_scale4_mse_only_conv5SingleHeadNet_denoise_epochs_50_metrics_2625_params.txt,5conv,2625,4,2,4,0.425424188,0.236878276,0.90505904,7.423557281,best_conv5SingleHeadNet_final_5conv_ch4_grp2_scale4_mse_only_denoise_epoch_50_weights_2625_params_gen_metrics.txt,0.708645523,0.708645463,0.708128273,2.991419792
final_5conv_ch4_grp4_scale1_mse_only_conv5SingleHeadNet_denoise_epochs_50_metrics_629_params.txt,5conv,629,4,4,1,0.41307056,0.229999706,0.910958886,7.679515362,best_conv5SingleHeadNet_final_5conv_ch4_grp4_scale1_mse_only_denoise_epoch_50_weights_629_params_gen_metrics.txt,0.720358491,0.720358431,0.698313117,2.849026203
final_5conv_ch4_grp4_scale2_mse_only_conv5SingleHeadNet_denoise_epochs_50_metrics_837_params.txt,5conv,837,4,4,2,0.417002976,0.232189298,0.909135818,7.597217083,best_conv5SingleHeadNet_final_5conv_ch4_grp4_scale2_mse_only_denoise_epoch_50_weights_837_params_gen_metrics.txt,0.709367096,0.709367037,0.710285425,2.98257947
