filename,model_type,num_params,chans,groups,scale,rrmse,rmse,corr,sdr
final_3conv_ch4_grp2_scale4_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_445_params.txt,3conv,445,4,2,4,0.460481822,0.256398529,0.88802439,6.735751152
final_3conv_ch4_grp4_scale1_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_249_params.txt,3conv,249,4,4,1,0.464964479,0.258894503,0.885550737,6.651605606
final_3conv_ch4_grp4_scale2_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_249_params.txt,3conv,249,4,4,2,0.46398446,0.258348823,0.886172712,6.669931412
final_3conv_ch4_grp4_scale4_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_333_params.txt,3conv,333,4,4,4,0.460823566,0.256588817,0.887587786,6.729306698
final_3conv_ch8_grp1_scale1_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_1777_params.txt,3conv,1777,8,1,1,0.448489845,0.249721333,0.894563437,6.964948177
final_3conv_ch8_grp1_scale2_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_1865_params.txt,3conv,1865,8,1,2,0.446686536,0.248717248,0.895100832,6.999943733
final_3conv_ch8_grp1_scale4_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_2041_params.txt,3conv,2041,8,1,4,0.452153683,0.251761377,0.892383337,6.89427948
final_3conv_ch8_grp2_scale1_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_1329_params.txt,3conv,1329,8,2,1,0.4492172,0.250126332,0.89377284,6.950872421
final_3conv_ch8_grp2_scale2_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_1417_params.txt,3conv,1417,8,2,2,0.450380057,0.250773817,0.892876148,6.928417683
final_3conv_ch8_grp2_scale4_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_1593_params.txt,3conv,1593,8,2,4,0.446718395,0.248734981,0.895319045,6.999323845
final_3conv_ch8_grp4_scale1_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_881_params.txt,3conv,881,8,4,1,0.451984257,0.251667053,0.892257273,6.897533417
final_3conv_ch8_grp4_scale2_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_969_params.txt,3conv,969,8,4,2,0.447803646,0.249339268,0.89440912,6.978247166
final_3conv_ch8_grp4_scale4_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_1145_params.txt,3conv,1145,8,4,4,0.447440982,0.249137327,0.89433974,6.985285282
