filename,model_type,num_params,chans,groups,scale,rrmse,rmse,corr,sdr
best_conv4SingleHeadNet_final_4conv_ch8_grp4_scale2_mse_only_denoise_epoch_50_weights_1497_params_gen_metrics.txt,4conv,1497,8,4,2,0.712730825,0.712730765,0.706867993,2.941488981
best_conv4SingleHeadNet_final_4conv_ch8_grp4_scale4_mse_only_denoise_epoch_50_weights_1673_params_gen_metrics.txt,4conv,1673,8,4,4,0.711021543,0.711021483,0.707707763,2.9623456
best_conv4SingleHeadNet_final_4conv_ch8_grp8_scale1_mse_only_denoise_epoch_50_weights_1185_params_gen_metrics.txt,4conv,1185,8,8,1,0.713109434,0.713109374,0.705161929,2.936876774
best_conv4SingleHeadNet_final_4conv_ch8_grp8_scale2_mse_only_denoise_epoch_50_weights_1273_params_gen_metrics.txt,4conv,1273,8,8,2,0.705682218,0.705682158,0.712903678,3.027817011
best_conv4SingleHeadNet_final_4conv_ch8_grp8_scale4_mse_only_denoise_epoch_50_weights_1449_params_gen_metrics.txt,4conv,1449,8,8,4,0.700924337,0.700924277,0.71634376,3.086577892
best_conv5SingleHeadNet_final_5conv_ch1_grp1_scale1_mse_only_denoise_epoch_50_weights_71_params_gen_metrics.txt,5conv,71,1,1,1,0.753026426,0.753026366,0.665406823,2.463796377
best_conv5SingleHeadNet_final_5conv_ch1_grp1_scale2_mse_only_denoise_epoch_50_weights_96_params_gen_metrics.txt,5conv,96,1,1,2,0.761842072,0.761842012,0.687642694,2.362701416
best_conv5SingleHeadNet_final_5conv_ch1_grp1_scale4_mse_only_denoise_epoch_50_weights_188_params_gen_metrics.txt,5conv,188,1,1,4,0.74391669,0.743916631,0.673347056,2.569514275
best_conv5SingleHeadNet_final_5conv_ch2_grp1_scale1_mse_only_denoise_epoch_50_weights_241_params_gen_metrics.txt,5conv,241,2,1,1,0.692534208,0.692534149,0.732556999,3.191175938
best_conv5SingleHeadNet_final_5conv_ch2_grp1_scale2_mse_only_denoise_epoch_50_weights_337_params_gen_metrics.txt,5conv,337,2,1,2,0.725527942,0.725527883,0.69257158,2.78691721
best_conv5SingleHeadNet_final_5conv_ch2_grp1_scale4_mse_only_denoise_epoch_50_weights_697_params_gen_metrics.txt,5conv,697,2,1,4,0.70718509,0.70718503,0.712273121,3.009338856
best_conv5SingleHeadNet_final_5conv_ch2_grp2_scale1_mse_only_denoise_epoch_50_weights_227_params_gen_metrics.txt,5conv,227,2,2,1,0.711527228,0.711527169,0.712285757,2.956169605
best_conv5SingleHeadNet_final_5conv_ch2_grp2_scale2_mse_only_denoise_epoch_50_weights_323_params_gen_metrics.txt,5conv,323,2,2,2,0.726422787,0.726422727,0.694131494,2.776211262
best_conv5SingleHeadNet_final_5conv_ch2_grp2_scale4_mse_only_denoise_epoch_50_weights_683_params_gen_metrics.txt,5conv,683,2,2,4,0.731879056,0.731878996,0.686756551,2.711214066
best_conv5SingleHeadNet_final_5conv_ch4_grp1_scale1_mse_only_denoise_epoch_50_weights_881_params_gen_metrics.txt,5conv,881,4,1,1,0.698841035,0.698840976,0.740305483,3.112432003
best_conv5SingleHeadNet_final_5conv_ch4_grp1_scale2_mse_only_denoise_epoch_50_weights_1257_params_gen_metrics.txt,5conv,1257,4,1,2,0.703985631,0.703985572,0.722721934,3.048723936
best_conv5SingleHeadNet_final_5conv_ch4_grp1_scale4_mse_only_denoise_epoch_50_weights_2681_params_gen_metrics.txt,5conv,2681,4,1,4,0.706296384,0.706296325,0.713228106,3.020260811
